,name,Population,Parent,Count,ParentCount,PTID,VISIT,TUBE,proportion,Min_Time,Max_Time
0,PubID_023_V08_04_017.fcs,/Lymphocytes,root,131322,177567,PubID_023,V08,4,0.739563094493909,33.2000007629395,2200.30004882812
1,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets,/Lymphocytes,129843,131322,PubID_023,V08,4,0.988737606798556,33.2000007629395,2200.30004882812
2,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-,/Lymphocytes/Singlets,122553,129843,PubID_023,V08,4,0.943855271366188,33.2000007629395,2200.30004882812
3,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+,/Lymphocytes/Singlets/Live|Dump-,118526,122553,PubID_023,V08,4,0.967140747268529,33.2000007629395,2200.30004882812
4,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+,20171,118526,PubID_023,V08,4,0.170182069756847,33.2000007629395,2200.30004882812
5,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+/eODKO11-,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+,19462,20171,PubID_023,V08,4,0.964850527985722,33.2000007629395,2200.30004882812
6,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+/eODKO11-/eODGT8Double+,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+/eODKO11-,70,19462,PubID_023,V08,4,0.0035967526461823,33.2000007629395,2200.30004882812
7,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+/BB515vsBV711,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+,19373,20171,PubID_023,V08,4,0.960438252937385,33.2000007629395,2200.30004882812
8,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+/GT8++noKO,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+,445,20171,PubID_023,V08,4,0.0220613752416836,33.2000007629395,2200.30004882812
9,PubID_023_V08_04_017.fcs,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+/GT8++noKO/GT8++KO-,/Lymphocytes/Singlets/Live|Dump-/CD19+CD20+/IgD-IgG+/GT8++noKO,67,445,PubID_023,V08,4,0.150561797752809,33.2000007629395,2200.30004882812
