,PTID,VISIT,Tube Name,name,Population,Parent,Min_Time,Max_Time,Count,ParentCount,proportion,count_diva,proportion_diva,count_diff,correlation
0,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,Lymphocytes,root,51.9000015258789,154917.203125,1943104,2386293,0.814277207367243,1771420,81.4,171684,1
1,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,Singlets,Lymphocytes,51.9000015258789,154917.203125,1872884,1943104,0.96386194459998,1703279,96.2,169605,1
2,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,Live|Dump-,Singlets,51.9000015258789,154917.203125,326129,1872884,0.17413198041096,297475,17.5,28654,1
3,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,CD19+CD20lo,Live|Dump-,51.9000015258789,154917.203125,268394,326129,0.822968825219468,243927,82.0,24467,1
4,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,CD27hiCD38hi,CD19+CD20lo,51.9000015258789,154917.203125,5501,268394,0.0204959872426358,5108,2.1,393,1
5,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,IgD-,CD27hiCD38hi,51.9000015258789,154917.203125,5471,5501,0.994546446100709,5081,99.5,390,1
6,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,eODKO11-,IgD-,51.9000015258789,154917.203125,4050,5471,0.740266861634071,3814,75.1,236,1
7,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,eODGT8Double+,eODKO11-,51.9000015258789,154917.203125,290,4050,0.0716049382716049,294,7.7,4,1
8,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,BB515vsBV711,IgD-,51.9000015258789,154917.203125,4050,5471,0.740266861634071,3814,75.1,236,1
9,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,GT8++noKO,IgD-,51.9000015258789,154917.203125,877,5471,0.160299762383477,819,16.1,58,1
10,PubID_070,V07A,07A_01,PubID_070_V07A_01_001.fcs,GT8++KO-,GT8++noKO,51.9000015258789,154917.203125,335,877,0.381984036488027,318,38.8,17,1
